camera_id,video_id,timestamp,frame_id,object_type,confidence,x1,y1,x2,y2
CAM_CITY_STREET_01,mixkit_100,2.002,48,car,0.8662,646.0,48.9,783.3,167.1
CAM_CITY_STREET_01,mixkit_100,2.002,48,car,0.8384,134.1,4.9,460.0,217.3
CAM_CITY_STREET_01,mixkit_100,2.002,48,car,0.7096,416.7,10.8,547.6,187.4
CAM_CITY_STREET_01,mixkit_100,2.002,48,car,0.7032,774.0,1.9,987.0,194.2
CAM_CITY_STREET_01,mixkit_100,2.002,48,car,0.6481,541.0,80.3,607.8,143.0
CAM_CITY_STREET_01,mixkit_100,2.002,48,car,0.5914,3.3,20.1,147.5,316.5
CAM_CITY_STREET_01,mixkit_100,2.002,48,car,0.5597,602.1,39.7,694.5,149.5
CAM_CITY_STREET_01,mixkit_100,2.085,50,car,0.8973,956.0,3.4,1278.9,251.5
CAM_CITY_STREET_01,mixkit_100,2.085,50,car,0.8905,647.3,55.3,786.2,175.0
CAM_CITY_STREET_01,mixkit_100,2.085,50,car,0.8234,776.6,1.2,995.0,202.4
CAM_CITY_STREET_01,mixkit_100,2.085,50,car,0.796,129.5,3.7,459.5,225.0
CAM_CITY_STREET_01,mixkit_100,2.085,50,car,0.7091,423.0,17.4,547.1,196.1
CAM_CITY_STREET_01,mixkit_100,2.085,50,car,0.6652,540.4,85.4,607.0,150.6
CAM_CITY_STREET_01,mixkit_100,2.085,50,car,0.6238,2.8,10.4,147.9,327.1
CAM_CITY_STREET_01,mixkit_100,2.085,50,car,0.5449,604.2,46.9,718.6,159.8
CAM_CITY_STREET_01,mixkit_100,2.085,50,car,0.4316,601.8,48.7,684.0,160.0
CAM_CITY_STREET_01,mixkit_100,2.169,52,car,0.879,966.6,3.4,1278.8,262.2
CAM_CITY_STREET_01,mixkit_100,2.169,52,car,0.8645,651.4,61.0,789.4,182.3
CAM_CITY_STREET_01,mixkit_100,2.169,52,car,0.8133,129.0,3.7,459.0,231.1
CAM_CITY_STREET_01,mixkit_100,2.169,52,car,0.791,778.9,2.4,1001.6,209.6
CAM_CITY_STREET_01,mixkit_100,2.169,52,car,0.7562,421.0,30.3,548.4,204.2
CAM_CITY_STREET_01,mixkit_100,2.169,52,car,0.6248,541.6,94.6,608.3,158.4
CAM_CITY_STREET_01,mixkit_100,2.169,52,car,0.6176,3.2,33.0,145.2,334.8
CAM_CITY_STREET_01,mixkit_100,2.169,52,car,0.547,604.4,55.3,715.0,165.7
CAM_CITY_STREET_01,mixkit_100,2.252,54,car,0.8712,978.8,4.4,1278.6,274.0
CAM_CITY_STREET_01,mixkit_100,2.252,54,car,0.8097,417.0,30.5,547.9,212.1
CAM_CITY_STREET_01,mixkit_100,2.252,54,car,0.8084,650.7,70.1,790.9,191.2
CAM_CITY_STREET_01,mixkit_100,2.252,54,car,0.8066,125.7,3.5,458.7,241.7
CAM_CITY_STREET_01,mixkit_100,2.252,54,car,0.7559,782.3,1.9,1009.1,220.7
CAM_CITY_STREET_01,mixkit_100,2.252,54,car,0.6296,1.0,10.6,145.4,341.8
CAM_CITY_STREET_01,mixkit_100,2.252,54,car,0.5558,539.7,100.8,608.0,165.9
CAM_CITY_STREET_01,mixkit_100,2.252,54,car,0.5252,600.9,60.0,728.3,175.1
CAM_CITY_STREET_01,mixkit_100,2.336,56,car,0.8476,986.7,3.7,1279.2,285.6
CAM_CITY_STREET_01,mixkit_100,2.336,56,car,0.8286,650.8,76.9,794.9,198.3
CAM_CITY_STREET_01,mixkit_100,2.336,56,car,0.7915,418.7,38.1,547.0,219.0
CAM_CITY_STREET_01,mixkit_100,2.336,56,car,0.7868,787.6,1.9,1020.2,229.0
CAM_CITY_STREET_01,mixkit_100,2.336,56,car,0.7815,124.1,4.0,458.6,248.4
